date,ten_cong_ty,ma_co_phieu,san_chung_khoan,thay_doi_5_phien_truoc,von_hoa_thi_truong,klgd,eps,p_e,he_so_beta,gia
2023-06-22,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,AFX,UpCom,-2.11,376.67,7.50,0.76,12.25,0.00,9.30
2023-06-22,Ngân hàng Thương mại cổ phần An Bình,ABB,UpCom,2.27,"9,108.32",-46.45,1.62,5.43,0.00,9.00
2023-06-22,Tổng công ty Cảng hàng không Việt Nam - CTCP,ACV,UpCom,2.50,"168,948.64",12.04,3.59,21.61,0.00,77.90
2023-06-22,Công ty Cổ phần Xây lắp Thương mại 2,ACS,UpCom,0.00,27.91,0.00,0.00,0.00,0.00,7.50
2023-06-22,Công ty cổ phần Dịch vụ Nông nghiệp Bình Thuận,ABS,HSX,2.35,273.69,24.04,0.84,8.68,0.00,7.39
2023-06-22,Công ty Cổ phần 28.1,AG1,UpCom,-1.39,34.53,282.35,0.38,18.77,0.00,7.10
2023-06-22,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HSX,0.00,444.06,39.80,1.39,5.00,0.00,7.00
2023-06-22,Công ty Cổ phần AAV Group,AAV,HNX,0.00,427.72,-11.40,-0.02,-253.15,0.00,6.20
2023-06-22,Công ty Cổ phần Gỗ An Cường,ACG,HSX,-1.25,"5,365.54",57.89,3.85,10.25,0.00,39.50
2023-06-22,Công ty cổ phần Clever Group,ADG,HSX,-3.21,807.11,143.90,1.78,21.19,0.00,37.75
2023-06-22,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp,ABI,UpCom,-0.26,"1,954.03",25.79,3.92,9.67,-0.03,37.70
2023-06-22,Công ty Cổ phần Bê tông ly tâm An Giang,ACE,UpCom,1.92,113.49,185.71,1.70,21.85,-0.00,37.20
2023-06-22,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,ABT,HSX,1.26,379.23,42.86,5.29,6.09,0.35,32.20
2023-06-22,Công ty cổ phần 32,A32,UpCom,-3.23,204.00,-100.00,2.56,11.74,0.00,30.00
2023-06-22,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,AGG,HSX,2.55,"3,528.34",-60.55,-0.14,-200.44,0.00,28.20
2023-06-22,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HSX,0.00,"84,089.69",-24.06,3.28,6.61,0.52,21.70
2023-06-22,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,AGF,UpCom,0.00,75.90,-100.00,-0.17,-16.33,0.27,2.70
2023-06-22,Công ty Cổ phần Sơn Á Đông,ADP,UpCom,-13.68,417.02,-100.00,1.71,10.58,-0.18,18.30
2023-06-22,Công ty Cổ phần Mĩ thuật và Truyền thông,ADC,HNX,0.00,67.62,245.15,2.85,5.97,-0.10,17.00
2023-06-22,Công ty Cổ phần Chứng Khoán Smart Invest,AAS,UpCom,5.06,816.00,-34.13,6.58,1.55,0.00,16.60
2023-06-22,Công ty cổ phần Truyền thông VMG,ABC,UpCom,-2.96,334.45,-46.09,34.63,0.47,0.00,16.40
2023-06-22,Công ty cổ phần Damsan,ADS,HSX,8.00,771.84,9.64,0.84,18.15,0.00,16.20
2023-06-22,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,ACC,HSX,1.11,"1,422.75",-40.39,0.74,18.41,0.21,13.70
2023-06-22,Công ty cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,ACL,HSX,2.77,647.05,34.98,1.09,11.83,0.32,13.00
2023-06-22,Công ty cổ phần Môi trường Đô thị An Giang,AGE,UpCom,-2.44,238.72,-100.00,0.44,27.43,0.00,12.00
2023-06-22,CTCP Chứng khoán An Bình,ABW,UpCom,0.00,0.00,-58.58,0.00,0.00,0.00,11.90
2023-06-22,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,ABR,HSX,-3.36,262.00,-61.54,1.46,8.97,0.00,11.50
2023-06-22,Công ty Cổ phần Nhựa An Phát Xanh,AAA,HSX,-2.23,0.00,-21.78,Infinity,0.00,0.78,10.95
2023-06-22,Công ty Cổ phần Thủy sản Mekong,AAM,HSX,-1.85,110.78,-21.21,1.44,7.34,0.13,10.60
2023-06-22,Công ty cổ phần Tập đoàn Khoáng sản Á Cường,ACM,UpCom,0.00,40.80,-100.00,-0.15,-5.40,0.00,0.80
